name,color,limitedScore,cmc,rarity,manaCost,typeLine,oracleText,archetype,isSignpost,isBomb,isRemoval
Changeling Wayfinder,,,3.0,common,{3},Creature — Shapeshifter,"Changeling (This card is every creature type.)
When this creature enters, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle.",,false,false,false
Rooftop Percher,,,5.0,common,{5},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Flying
When this creature enters, exile up to two target cards from graveyards. You gain 3 life.",,false,false,false
Adept Watershaper,W,,3.0,rare,{2}{W},Creature — Merfolk Cleric,Other tapped creatures you control have indestructible.,,false,false,false
"Ajani, Outland Chaperone",W,,3.0,mythic,{1}{W}{W},Legendary Planeswalker — Ajani,"+1: Create a 1/1 green and white Kithkin creature token.
−2: Ajani deals 4 damage to target tapped creature.
−8: Look at the top X cards of your library, where X is your life total. You may put any number of nonland permanent cards with mana value 3 or less from among them onto the battlefield. Then shuffle.",,false,false,false
Appeal to Eirdu,W,,4.0,common,{3}{W},Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
One or two target creatures each get +2/+1 until end of turn.",,false,false,false
Bark of Doran,W,,2.0,uncommon,{1}{W},Artifact — Equipment,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,false,false,false
"Brigid, Clachan's Heart // Brigid, Doun's Mind",GW,,3.0,rare,,Legendary Creature — Kithkin Warrior // Legendary Creature — Kithkin Soldier,,,false,false,false
Burdened Stoneback,W,,2.0,uncommon,{1}{W},Creature — Giant Warrior,"This creature enters with two -1/-1 counters on it.
{1}{W}, Remove a counter from this creature: Target creature gains indestructible until end of turn. Activate only as a sorcery. (Damage and effects that say ""destroy"" don't destroy it. If its toughness is 0 or less, it still dies.)",,false,false,false
Champion of the Clachan,W,,4.0,rare,{3}{W},Creature — Kithkin Knight,"Flash
As an additional cost to cast this spell, behold a Kithkin and exile it. (Exile a Kithkin you control or a Kithkin card from your hand.)
Other Kithkin you control get +1/+1.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,false,false,false
Clachan Festival,W,,3.0,uncommon,{2}{W},Kindred Enchantment — Kithkin,"When this enchantment enters, create two 1/1 green and white Kithkin creature tokens.
{4}{W}: Create a 1/1 green and white Kithkin creature token.",,false,false,false
Crib Swap,W,,3.0,uncommon,{2}{W},Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling.",,false,false,false
Curious Colossus,W,,7.0,mythic,{5}{W}{W},Creature — Giant Warrior,"When this creature enters, each creature target opponent controls loses all abilities, becomes a Coward in addition to its other types, and has base power and toughness 1/1.",,false,false,false
"Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight",BW,,5.0,mythic,,Legendary Creature — Elemental God // Legendary Creature — Elemental God,,,false,false,false
Encumbered Reejerey,W,,2.0,uncommon,{1}{W},Creature — Merfolk Soldier,"This creature enters with three -1/-1 counters on it.
Whenever this creature becomes tapped while it has a -1/-1 counter on it, remove a -1/-1 counter from it.",,false,false,false
Evershrike's Gift,W,,1.0,uncommon,{W},Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+0 and has flying.
{1}{W}, Blight 2: Return this card from your graveyard to your hand. Activate only as a sorcery. (To blight 2, put two -1/-1 counters on a creature you control.)",,false,false,false
Flock Impostor,W,,3.0,uncommon,{2}{W},Creature — Shapeshifter,"Changeling (This card is every creature type.)
Flash
Flying
When this creature enters, return up to one other target creature you control to its owner's hand.",,false,false,false
Gallant Fowlknight,W,,4.0,common,{3}{W},Creature — Kithkin Knight,"When this creature enters, creatures you control get +1/+0 until end of turn. Kithkin creatures you control also gain first strike until end of turn.",,false,false,false
Goldmeadow Nomad,W,,1.0,common,{W},Creature — Kithkin Scout,"{W}, Exile this card from your graveyard: Create a 1/1 green and white Kithkin creature token. Activate only as a sorcery.",,false,false,false
Keep Out,W,,2.0,common,{1}{W},Instant,"Choose one —
• Keep Out deals 4 damage to target tapped creature.
• Destroy target enchantment.",,false,false,false
Kinbinding,W,,5.0,rare,{3}{W}{W},Enchantment,"Creatures you control get +X/+X, where X is the number of creatures that entered the battlefield under your control this turn.
At the beginning of combat on your turn, create a 1/1 green and white Kithkin creature token.",,false,false,false
